,CASP biorep1 400min,CASP biorep1 511min,CASP biorep1 621min,EXP biorep2
ompX,21449,38840,45274,3483
speB,1707,1675,1601,1673
HQ24_RS01690,23,16,24,16
tsuB,147,83,96,78
HQ24_RS02755,8,1,2,9
sufE,551,65,219,155
fecC,18,7,5,52
ahr,4038,4560,4666,378
glnK,2,0,4,1
gatB,1358,101,152,11509
ybfE,15,11,12,232
ulaD,50,53,39,92
ilvI,75,62,62,882
uspA,2062,2024,2387,2801
entB,247,45,122,953
yfiM,98,16,30,93
digH,75,29,33,418
cspE,35090,52465,58990,30169
adhE,32466,14896,25582,13329
trbI,16,13,10,964
fumE,230,163,130,276
norR,265,237,238,338
waaU,133,102,156,322
yfcJ,10,11,11,155
citC,1,0,0,0
wzz(fepE),3,2,2,9
HQ24_RS15180,40,42,31,479
cspG,58,59,39,1368
yoaF,120,118,106,77
ygiN,2274,2252,2095,649
dcuC,86,45,38,60
cydA,5568,4522,5577,4798
eutQ,18,40,36,41
ycbU,30,13,13,23
trmH,108,20,23,491
HQ24_RS26495,30,13,18,40
bcp,852,776,558,1827
HQ24_RS26560,0,1,0,1
yehB,81,60,57,23
ydbJ,708,1158,630,803
pheP,122,67,47,561
yfdH,70,22,24,2029
prpC,1549,658,1246,168
ulaB,6,17,21,22
HQ24_RS00290,517,315,618,220
eco,275,282,293,212
rpsS,232,385,172,10859
qseB,33,42,29,33
HQ24_RS05960,74,31,33,6
rnt,83,29,37,439
arnE,334,138,123,59
nuoE,530,104,180,4382
fldB,250,279,267,431
phoQ,656,238,261,1502
yniA,5262,8160,6686,1367
araB,315,512,464,1298
potD,230,135,133,2494
mdoC,35,33,49,306
HQ24_RS23365,7,5,6,9
vapC,982,882,954,291
rbn,204,213,179,403
purA,735,1054,591,6794
HQ24_RS22080,61,52,22,119
KanR,73514,185640,100833,110008
yfcG,2348,3368,2795,223
ycjD,75,36,41,63
tmcA,1141,515,589,1118
ycgN,1282,387,960,260
pnuC,1988,3134,2814,779
yegH,1269,277,677,296
gcvH,117,237,384,4937
gatZ,56131,24705,34739,92921
yncH,18,8,15,6
ariR,722,611,869,52
hexR,481,474,459,1043
thrS,11193,10691,10110,16667
cysB,367,288,407,1546
surE,671,833,499,1577
ygfB,370,489,415,891
dppF,35,41,25,2201
rna-HQ24_RS23570,2,1,2,21
yobF,1983,5276,2194,3629
tig,544,857,504,17413
yqhA,120,136,99,593
mzrA,331,205,177,383
cspH,0,2,0,14
metC,398,288,323,729
nudE,374,177,145,788
trbB,41,24,22,915
HQ24_RS08570,0,1,2,59
zinT,72,36,55,37
HQ24_RS25805,2,0,0,1
fucR,118,269,152,733
bor,2,6,6,89
rcdA,99,118,125,95
HQ24_RS25910,17,43,29,5
yceI,27,8,17,319
HQ24_RS26470,7,6,3,0
yejO,1561,865,889,693
gspO,37,20,27,40
waaB,229,259,264,538
HQ24_RS26030,1,2,1,0
lsrF,522,33,46,1651
rpmI,1706,1945,1280,6284
yiiR,481,393,553,117
fes,511,221,338,418
mcbR,1584,972,813,309
pnp,7253,5631,4269,28398
nhoA,694,880,594,211
srlA,215,268,326,90
glpF,706,980,910,517
ssuD,8,6,4,12
ybdJ,682,137,317,98
fliR,6,3,0,1479
mdtI,15,36,19,109
rpoC,7731,4200,4735,45711
yiiE,3,0,2,0
patD,2795,162,427,12407
yjfY,555,168,831,7
pgeF,1097,267,262,1081
lldR,292,69,108,280
rplS,348,190,264,6654
thiL,104,67,38,467
glcF,651,444,479,430
HQ24_RS06305,2,1,0,69
pdeC,2913,832,1734,201
uxaA,220,290,224,531
yciK,132,207,154,482
iscX,100,83,66,656
queF,222,112,115,517
rfaS,134,105,172,211
yafJ,278,253,210,604
osmC,10870,12431,12191,1421
rbsK,197,142,136,1805
yjhU,879,1345,1078,706
hycE,17,10,8,43
nanK,937,445,398,375
uidC,193,123,173,79
arnB,966,238,241,319
tapT,65,140,96,236
HQ24_RS01355,0,2,5,7
yedL,177,140,178,45
agn43,199,63,80,184
hcaE,151,94,77,322
ispD,165,101,85,986
hisP,210,19,23,813
rplA,1501,3537,1608,27052
yfcP,20,10,11,8
yjgA,2065,2273,2324,684
HQ24_RS14530,4,1,1,98
gdhA,199,71,61,2937
rna-HQ24_RS23535,10,7,1,17
birA,190,101,104,501
HQ24_RS22075,194,199,159,386
yhdT,3,1,2,46
ugpE,264,10,30,312
cysA,175,108,79,100
glgA,2996,2062,2038,2927
yaiL,254,206,175,281
hscA,553,417,287,4003
yegP,5560,6318,7627,361
ykfA,373,239,199,284
lacY,45,49,27,16
glcG,216,211,183,201
amiC,229,130,95,1753
csqR,323,611,363,417
mreB,1129,1143,721,7291
nagZ,630,819,633,586
rffM,270,212,181,400
wcaA,6,8,7,12
ribA,248,297,255,463
yicJ,40,21,23,17
flhC,206,91,93,2486
ygaV,40,40,46,34
arcA,16347,36011,21721,6028
ispF,77,36,30,515
HQ24_RS16615,3,2,1,1
cysH,97,108,101,48
ycaR,99,132,103,105
rcnR,51,26,40,44
yggS,121,170,134,376
purH,79,103,98,2106
rhoL,371,294,242,1067
rnb,140,162,83,4438
ybiE,14,9,8,33
dsrB,911,249,734,110
zapB,520,336,430,663
dcp,822,705,677,2065
yeeY,2437,2262,3590,267
nirC,19,30,18,22
hycH,55,44,46,13
yeiG,219,124,176,888
nirD,9,13,8,2
yghT,11,4,2,8
hydN,11,23,22,81
hyfI,27,7,16,22
dtpB,2892,3004,4714,201
katE,3717,171,325,4791
yhhX,1394,2376,2022,585
yrdD,2289,1335,1893,1149
cedA,45,75,38,34
gndA,7184,4171,4849,12585
tauA,8,6,4,4
yqjF,82,58,98,83
HQ24_RS06550,236,135,144,294
cyoC,113,124,123,4193
metR,103,61,45,112
norV,99,89,72,101
ybfQ,8,5,4,3
yfiF,871,1448,1052,1492
hokA,0,1,0,0
maeB,1557,2576,2208,16116
cheW,165,60,88,2268
fadI,2053,3010,2951,2286
nlpE,853,810,938,388
yodC,951,474,770,190
alpA,4,1,1,8
hdeA,3547,376,227,1049
manZ,7091,15541,9354,6389
robA,7125,5203,6289,2338
rnhA,117,62,78,228
rplE,2629,6501,2538,30811
HQ24_RS05365,10,14,13,4
ycjW,31,26,18,178
ygcN,36,26,24,175
ygfX,139,99,66,426
ygiW,1644,4063,4887,591
yjiX,5,12,2,15
ychF,509,894,567,1683
csgG,153,81,82,818
dacA,199,229,159,2145
plaP,51,35,30,3869
vapB,275,234,398,135
ybgS,5173,1512,2793,271
fryC,1,10,7,12
ygjQ,9,9,4,22
mlaF,878,897,1066,1455
yidQ,596,542,547,758
hemE,771,789,640,1022
yidG,60,24,22,43
dtd,601,378,400,493
trbJ,12,3,10,381
ung,132,193,179,317
rna-HQ24_RS13395,2748,391,9061,2747
yjbR,1101,1144,1091,222
gloB,586,252,263,323
lon,2088,1888,1550,5480
ycfZ,1,2,3,22
HQ24_RS26010,2,5,1,1
bax,951,820,609,3548
rhaS,57,79,62,42
tesA,63,95,71,221
thiC,583,423,467,1672
dtpA,484,172,239,8715
yeaC,1013,787,744,1775
torC,36,34,15,12
yihN,64,37,47,84
purF,311,180,182,6139
ompL,15,7,11,3
ubiI,394,129,138,1269
parE,756,827,570,3271
tyrA,673,515,543,580
rutC,4,8,1,1
rzoD,43,42,41,10
allS,38,35,33,9
ybhS,193,39,69,128
aaeB,143,97,66,103
sdhC,795,1380,1091,6997
yecF,10,9,11,49
fsa,141,147,140,56
fabH,2002,4262,2883,3687
ybeY,1735,1105,1255,568
bamE,2422,1234,1954,1798
pflB,41959,19378,26984,15575
ycaM,253,211,218,716
pyrD,34,23,28,875
yhfU,15,12,8,7
tam,3761,1824,2746,1070
ysgD,9,14,9,23
thiP,17,10,2,237
fkpB,157,48,74,803
yneK,18,6,10,18
aegA,124,120,76,99
hycB,8,1,4,7
ribE,850,1060,773,1714
yahO,36304,12421,21064,1872
argC,514,34,24,65
mtlA,13122,8033,11298,5586
pepB,647,815,626,2791
yebQ,35,10,18,168
apbC,1076,424,531,1998
treB,116,401,137,1036
cysQ,4422,12038,10911,378
flhB,18,16,7,2450
HQ24_RS26915,6,3,4,1
caiE,14,7,10,18
uvrA,3678,2005,2139,3270
rna-HQ24_RS17425,1549,175,4423,1583
HQ24_RS19570,14,15,4,15
menI,40,32,39,339
cysE,1345,368,407,2285
traN,100,59,82,4807
recO,936,475,461,935
ycgZ,241,198,290,21
yicC,1266,1484,1211,1461
oppA,9089,6148,7969,65331
dmsD,114,45,29,327
lgoT,403,151,270,143
bssS,19252,24751,26534,437
cgtA,6504,5969,8240,2542
amiA,381,384,292,789
fcl,12,6,5,29
hspQ,11122,17795,18260,1119
mltD,512,358,255,5347
creA,101,176,108,245
prpB,4622,4608,7461,240
lsrD,294,47,41,669
endA,45,21,33,47
yraH,7,9,9,10
traV,56,22,26,2186
modA,235,461,315,934
djlA,164,120,89,345
citE,0,0,0,0
lyxK,20,5,10,83
aaeX,46,26,25,6
slyX,326,289,230,115
yfjP,232,301,284,40
HQ24_RS25610,7,7,5,3
pdeL,94,64,57,152
HQ24_RS10225,9,12,7,21
rbsR,76,39,39,531
alkA,577,352,270,163
phoH,12447,3977,9651,422
matP,502,926,779,303
nadE,1766,1503,1454,911
degS,226,84,103,652
pyrG,13267,9098,10786,8123
HQ24_RS01025,20,17,12,136
ybhH,5,12,7,5
sgcB,365,240,404,29
pepP,1184,1626,1495,2521
rihA,142,199,149,1000
bcr,423,299,161,1399
cca,2633,1816,1270,2280
dcyD,1724,2418,2568,1166
ynfF,148,32,76,124
yeiP,55,78,40,918
malK,9,2,6,3850
yaeQ,90,74,63,187
eutL,62,75,75,134
rfaY,102,113,86,229
uhpB,44,34,20,402
gapA,17201,12576,13054,28942
yjhH,134,197,190,115
yajO,7252,11698,12629,1053
yodD,8510,11420,10912,210
quuD,29,11,26,10
tnpA,3,3,6,4
wbbI,264,257,192,1758
ydaF,91,121,142,14
tatC,194,64,63,1374
evgA,52,40,29,89
pgrR,156,155,126,132
tnaB,73,15,48,1300
pdxK,258,524,347,433
sppA,330,358,336,1702
idnD,93,34,53,63
ydgC,131,103,107,277
ytjB,51,89,67,191
yfjZ,1,3,1,6
HQ24_RS01335,280,361,308,920
etk,371,311,337,194
rarD,77,107,80,263
glsA,1156,89,40,302
lldD,747,234,325,427
gldA,112,172,156,132
yvcK,224,217,164,309
fic,4355,2729,3587,324
HQ24_RS19415,2,3,4,9
wbbK,214,146,137,1745
HQ24_RS25985,0,0,0,0
queC,226,131,156,436
entS,123,141,81,814
ssuC,12,9,11,9
ycgB,14728,10649,23071,1212
yehD,3,1,1,2
yghS,7,7,2,17
norW,53,22,15,57
yheS,532,355,412,1181
purN,77,170,108,3471
ftsE,706,1128,809,632
narQ,246,158,140,310
HQ24_RS14525,12,5,8,350
HQ24_RS15925,4,3,4,7
raiA,15946,31264,31478,2505
rpsJ,473,1093,386,21154
dcuA,1322,868,1336,2098
yddH,1497,1230,1283,114
HQ24_RS02765,0,0,0,0
ihfB,3329,2625,5228,1605
rpoB,8041,4753,4782,46030
mdtF,85,55,43,152
cas7e,189,89,82,126
HQ24_RS25885,39,33,17,80
yqjK,1289,2934,1447,1295
gspE,51,31,25,95
ybhD,18,24,13,30
hiuH,36,11,11,21
yhiY,125,146,99,240
aldA,16916,21649,18136,53644
metA,176,88,78,160
yeeJ,655,368,423,441
alx,93,82,63,423
trmN,21,12,9,439
yihY,958,951,1029,702
ytcA,0,2,0,1
rlmKL,414,530,474,1997
glrR,250,170,106,624
hyaD,406,105,405,25
pheS,160,143,90,2629
HQ24_RS04580,4,2,5,19
mepH,152,54,71,562
clcA,1171,402,632,606
nagA,1216,1321,1465,857
yjaB,268,282,311,38
frdB,584,1592,1030,1172
pstC,103,181,122,286
hisIE,211,102,86,984
fliL,13,16,18,5263
yacC,127,152,100,654
queA,33,13,19,609
tyrS,569,953,562,4234
pspF,125,98,101,130
plsC,192,195,151,653
lrhA,326,922,621,467
HQ24_RS18250,4,0,0,3
ybhA,64,107,71,208
HQ24_RS14870,592,327,267,734
ygiS,164,129,146,558
cysZ,190,103,144,326
chaA,99,90,82,534
pckA,2342,4950,3729,16414
puuC,148,149,146,170
flhD,147,93,77,1301
yciI,100,337,164,272
HQ24_RS14900,20,17,16,12
pmrD,54,38,53,268
acrS,2,4,2,2
rng,1078,390,470,2039
btuE,1390,548,589,753
HQ24_RS02850,271,170,169,2515
ccmH,89,66,51,196
HQ24_RS26695,0,1,0,0
aceA,6174,2529,3316,2122
galK,494,307,377,793
tusB,241,117,124,268
ygbN,130,71,80,63
yidZ,31,16,12,157
surA,2636,1768,1610,4213
malT,3427,2243,1911,12151
HQ24_RS19445,156,293,256,36
bioC,20,23,7,364
rpmA,498,262,276,6248
rmuC,878,756,694,1239
ugpQ,747,484,463,644
tdcD,39,18,8,73
HQ24_RS14735,2,1,0,1
dbpA,1639,451,435,783
rph,44,81,69,411
ilvM,6,13,9,15
tusD,360,19,38,395
ydeO,30,32,40,11
yehW,433,62,82,326
HQ24_RS23720,28,19,19,9
yebS,1089,935,678,377
yigL,173,76,68,472
hypF,341,238,226,228
citX,0,2,1,2
fadD,16125,31991,32381,3613
tfaQ,42,38,32,16
ulaG,79,77,70,42
plsX,1051,1133,894,3762
HQ24_RS10305,32,36,23,58
cvpA,124,142,87,2566
nanA,2538,1589,2765,796
pdxH,166,69,74,687
speG,150,161,135,664
btuC,212,61,55,312
yecC,1140,701,720,923
yciH,6,5,3,220
flgD,13,6,4,11434
slyB,12033,20253,19086,6216
uspC,31,60,40,26
bepA,983,1017,934,1490
yjgR,4846,3157,4496,897
HQ24_RS26605,0,0,0,1
yecR,3,5,2,1028
iclR,316,413,451,668
fecR,1024,94,141,366
araE,183,181,169,488
ydeS,8,11,14,3
yieE,179,115,83,334
HQ24_RS18630,2,0,1,1
marC,1098,2369,1597,207
yfbS,270,121,135,496
nagE,3339,7421,7034,3735
murP,160,128,153,250
pgm,1424,4035,2320,3959
ecpR,9,16,12,11
msrQ,895,374,397,163
wzy,335,218,188,1672
yibH,1693,2910,1832,122
glcC,1373,3185,1839,2228
hscC,66,55,64,126
ygeG,7,1,2,2
HQ24_RS17105,291,334,300,1015
yhcG,79,57,65,140
yihQ,104,96,116,21
HQ24_RS03245,2139,2513,1949,226
acrE,3,1,4,16
phoE,15,7,13,16
yehX,462,136,126,339
ynbB,12,21,31,5
mhpF,41,70,52,26
cyuA,63,51,90,170
ybhQ,4029,6437,3137,865
gatA,10425,1017,1906,31277
lamB,106,71,94,16822
ygbK,164,130,150,79
agaV,78,134,112,120
HQ24_RS16005,9029,12987,9411,660
yjgN,25,12,27,10
sbmC,7416,3916,6829,862
yhjX,82,49,75,97
ynjB,131,111,67,236
yjhQ,16,16,14,107
hcp,19,24,30,31
hcxA,284,181,162,134
ilvL,62,101,73,41
umuD,507,574,449,65
ydcU,751,156,385,1690
ydiB,23,12,13,30
gadC,2783,327,454,883
HQ24_RS21230,19,24,15,241
alaS,1292,1491,1024,12773
oppF,1459,261,537,14462
hyaB,1101,490,1547,43
rpiA,608,905,541,1551
emrE,118,130,118,103
holD,37,42,17,171
tnaA,117,96,83,3937
ybhC,154,42,65,219
hofQ,30,18,19,45
ydcL,14216,2883,6814,1879
yghG,0,1,2,9
hemL,1291,1229,1225,1878
yicI,100,68,75,107
HQ24_RS06030,280,387,477,201
ynfC,908,792,762,353
yfgJ,177,134,115,236
acnA,11800,1932,4438,3883
cbl,109,82,94,79
nanM,2248,2250,3262,158
thiI,175,171,96,1025
leuB,279,153,164,740
motB,287,414,372,2651
HQ24_RS03850,153,63,73,370
csgC,19,18,25,92
secB,3279,2301,2736,3019
ypdE,21,14,20,15
rsmI,221,93,112,402
yfdG,29,15,11,712
mdoG,2331,768,1382,2899
mhpD,36,8,20,27
pepD,3490,639,980,4475
tyrB,292,307,244,1327
HQ24_RS26310,37,40,34,4
cspA,6234,3324,2666,27574
xylR,110,56,91,205
entA,203,42,90,742
rof,1146,1531,976,191
spy,373,183,306,157
priB,296,348,211,9685
ybbA,241,268,259,324
fadE,36692,32262,45059,4227
clcB,32,23,15,91
traS,62,71,91,761
HQ24_RS13880,37,25,14,1026
yqhC,244,657,518,78
HQ24_RS12430,224,106,145,54
hokD,1790,2602,3067,261
wcaE,11,17,11,11
ydjI,45,26,35,78
exbB,1587,1338,1017,2909
yfbP,102,76,80,80
yoaE,138,71,67,1305
yeaW,25,11,16,72
hcr,25,64,44,15
tal,7322,6857,9531,10915
infB,6172,8727,6932,16601
ybeF,6,2,4,21
HQ24_RS26955,59,5,17,5
hisF,188,51,67,1010
orn,267,296,268,294
yfbL,24,18,16,7
yhhM,36,67,38,69
HQ24_RS17420,23,15,13,137
HQ24_RS14815,311,358,281,266
HQ24_RS25795,3,1,0,0
ratA,118,130,101,431
guaA,416,829,551,8967
ispG,3939,6885,5447,3251
ybjT,453,115,135,686
ydeR,15,23,14,8
hyfD,4,15,5,14
glgC,2629,2612,2701,2767
yidC,278,161,107,8476
purT,21,25,17,2043
ybbC,16,16,12,15
ytfE,49,48,35,44
sufB,4473,2699,4728,811
wbbJ,176,128,117,1105
HQ24_RS26360,3,1,7,2
pstS,237,272,204,579
HQ24_RS09845,43,33,27,734
gltS,653,1189,719,234
aaeA,70,41,43,30
yhhW,681,1458,943,207
yigE,25,28,12,5
HQ24_RS26445,60,48,57,37
rutB,1,2,6,2
der,2471,3062,2632,3498
ssrA,1713377,2027500,1789968,255815
yphG,129,117,147,70
flgN,164,208,182,1617
gabT,2423,677,869,1565
pspD,357,1454,1145,41
alsA,22,11,14,80
rna-HQ24_RS23515,0,0,0,1
HQ24_RS13895,18,20,21,36
atoE,16,15,17,12
dicB,4,1,4,0
fusA,27242,50957,34346,107445
glpT,120,146,116,275
yadS,38,35,18,253
mnmA,242,125,94,2269
gss,546,419,374,1068
tdcR,0,1,1,0
ylcI,1,0,0,1
otsA,8205,6091,6976,1014
ydeT,14,58,26,22
rseA,19043,34966,17839,5416
lolB,669,486,403,810
caiC,72,25,30,61
gudX,49,39,44,86
acs,14412,20608,16086,25153
xseA,930,213,287,2135
yciQ,606,301,441,239
ykgE,33,54,35,111
allR,6497,5859,7639,1062
HQ24_RS11280,32,13,15,73
ycjF,256,274,173,331
HQ24_RS26390,159,117,184,84
atoS,276,231,309,175
folP,161,87,114,363
meaB,26,28,24,34
HQ24_RS01315,199,165,125,121
panM,130,124,101,124
HQ24_RS26465,9,5,9,0
yjeO,28,16,22,20
dnaX,328,193,129,2185
citG,1,1,1,0
ssuB,49,38,60,36
eutM,21,18,14,77
HQ24_RS26150,0,0,0,0
ais,35,22,24,28
aroD,106,267,184,363
recB,299,109,129,2293
yjgM,213,172,165,95
yeaL,12,10,4,74
alsK,89,75,74,63
ynaK,22,29,20,24
torD,39,28,25,27
HQ24_RS13635,25,24,16,157
sugE,347,115,101,222
yabI,2585,1474,1361,540
yceJ,9,9,9,57
yidR,108,98,93,158
galR,883,889,895,441
rpoN,3221,2249,2364,3262
pyrI,15,18,19,695
rspB,78,55,53,112
cynR,64,47,37,86
cmtA,41,29,31,35
pncA,66,64,46,683
HQ24_RS16680,242,299,242,143
yddL,0,0,0,0
HQ24_RS07215,240,129,134,103
yijD,1047,1735,867,1218
rsxC,80,64,38,1808
traG,325,189,235,5185
dcrB,727,2070,1416,880
flgJ,27,24,13,3935
hisA,217,52,48,933
ldtD,4215,4186,6108,863
exbD,712,1276,649,1470
nemR,120,193,174,92
garK,761,427,622,145
nhaB,78,32,20,978
prpE,1250,90,255,370
yqeG,513,242,302,251
fadA,3607,3515,3651,3447
bioB,127,511,444,979
yeaO,269,666,459,89
ypdK,9,7,11,62
ydeA,61,24,45,53
evgS,135,65,57,276
glnA,265,88,125,4037
hrpB,359,238,179,643
oxyR,407,591,445,1138
pitA,2779,5050,3140,4576
yhhN,1053,681,712,438
yjiG,40,29,33,14
ccmA,94,92,83,146
mipA,293,528,327,2504
sdhB,365,215,257,9051
yjfL,34,34,27,6
yidP,15,9,17,14
fliS,30,8,7,1400
yihP,42,7,14,26
ybcL,172,66,123,17
nagK,919,850,816,1183
pyrF,57,27,22,682
ycgX,4,4,3,23
rna-HQ24_RS23540,4,1,3,7
pphA,549,403,451,85
yjaH,81,94,43,729
pstB,170,184,158,449
ykfH,1,1,1,0
elaD,67,6,21,47
HQ24_RS12620,15,8,10,9
msrB,2057,1493,1542,2558
ycgM,595,897,755,395
yqiJ,43,54,66,83
yjjP,90,89,73,72
yehS,215,266,189,751
ybaL,2420,1884,1597,1428
ydiO,16,16,16,26
ypjJ,1,3,1,4
kdgA,245,524,260,926
HQ24_RS15035,174,80,74,5566
gmm,3,2,3,14
nlpA,253,338,266,157
yiaA,40,24,41,11
yfhL,49,45,46,100
rna-HQ24_RS23510,1,0,0,13
HQ24_RS24280,23,11,8,7
nuoN,1234,152,177,8174
HQ24_RS02745,2,1,1,6
ftsH,21472,34041,25761,16449
mglC,235,39,58,1569
xapR,247,371,315,138
gsk,105,65,51,649
yafS,293,266,212,177
ybdO,40,22,27,32
wzxE,610,386,337,604
ybhB,781,2442,1961,90
HQ24_RS10340,54,28,48,13
sohB,715,449,539,945
lgoD,29,24,25,9
casB,32,16,28,22
leuD,413,441,393,434
mscK,161,80,70,1326
HQ24_RS15235,839,512,541,555
yceM,650,1226,825,661
HQ24_RS24640,1,2,2,0
yfcH,4037,10475,7235,1370
yfjF,45,62,44,188
tar,1132,795,1035,6234
ybhF,560,275,380,344
ybjQ,1198,1902,1586,152
frdA,2621,4721,3453,4031
frvR,32,10,24,29
nohA,27,24,9,9
eutA,158,89,70,45
mdtK,904,3100,1907,1149
rpmJ,1716,1609,1086,7965
selO,1144,603,711,1431
fecA,228,33,50,239
dsbD,167,45,79,578
dam,193,97,98,1124
adiA,64,45,42,96
acnB,5037,8292,5464,41501
hemF,121,72,62,540
traR,13,12,17,1054
yidE,711,1223,1218,518
zapE,77,47,44,599
epmA,197,90,86,185
ilvG,626,1666,831,464
infA,212,202,143,2948
yphB,214,99,104,109
wzzB,1987,1254,1293,6267
kgtP,14278,10116,16328,20072
zitB,896,208,591,134
HQ24_RS15250,1,1,3,3
lepB,1418,353,560,2936
motA,582,1061,783,2966
purU,937,194,269,1282
iap,133,61,76,248
psuK,21,21,14,41
gudD,276,204,154,122
yfeO,1116,651,699,220
yijE,48,16,24,153
ytfR,2331,415,954,419
aaeR,330,171,221,277
pcm,506,624,420,932
yshB,253,139,191,219
yihX,541,548,403,780
ydhT,57,26,22,53
rutF,15,15,11,2
bdm,14,23,13,16
nfo,214,373,229,493
ydhV,71,40,68,88
HQ24_RS09205,17,9,7,8
creD,108,50,76,3992
rlmM,913,1045,769,1032
csdE,551,612,621,207
rseD,146,138,218,52
hipB,50,88,126,27
ubiG,147,89,81,969
yqgH,3,1,0,4
feoC,155,82,104,219
HQ24_RS17415,24,20,4,139
narK,150,86,183,17
lolD,59,31,16,516
ydfT,62,27,22,36
ynbC,119,76,64,75
epmC,50,13,13,557
glgB,2187,640,788,3046
lolE,787,551,665,988
minC,376,203,222,1396
napD,1,2,4,11
ccmF,45,51,40,312
ymjA,42,25,19,193
cobS,150,163,144,265
bcsG,1267,45,168,1187
rfaP,176,162,151,335
shoB,69,17,48,33
spoT,1620,765,588,4300
yeeW,9,4,1,1
caiD,12,11,7,11
HQ24_RS01360,35,14,21,75
yiaU,514,152,279,94
rplB,922,1942,577,40782
yhiI,310,398,349,778
speA,7546,13647,12197,10778
ykgO,4,2,4,4
arnF,154,56,51,35
yigB,58,53,53,180
astB,4729,1338,4125,3687
mdtM,167,199,142,68
yjcE,634,838,591,588
hxpB,112,54,63,533
tag,351,326,328,245
yicG,9,101,80,27
HQ24_RS03445,20,15,16,239
yoaG,11,10,14,5
yibI,448,1184,781,29
HQ24_RS23555,36,22,25,4
alaE,648,1713,1501,37
acrA,1131,1092,791,3036
glmM,1070,997,885,3461
pgl,4803,5956,4869,1368
dnaN,756,1307,709,1711
mioC,111,137,68,814
HQ24_RS26665,0,1,0,0
ydfH,288,237,171,1039
yifB,33,23,21,23
ygcW,9,3,6,18
rcsF,91,186,135,439
ybeU,34,7,24,7
cbrA,28,28,17,1225
radA,315,575,474,1149
HQ24_RS26720,10,11,4,15
allC,83,89,91,97
uvrC,2046,1286,987,2589
rsuA,389,490,269,1189
HQ24_RS15320,6,3,4,20
sopA,2276,1804,2041,2470
lafU,55,35,35,13
yhiJ,192,63,145,18
yraN,122,15,25,343
yccT,867,900,828,102
ynfD,1051,854,1867,85
agaC,3,9,8,26
HQ24_RS23050,1061,620,730,371
kdpF,0,0,0,0
lpxK,485,260,211,968
nimT,66,47,56,53
mqsA,1674,3791,3439,211
rpsU,821,1024,728,8470
phnE,1,2,4,3
rlmG,28,40,32,352
agaB,9,5,7,10
apaH,1731,553,658,688
hemW,108,59,44,1026
yadX,20,27,11,3
yegI,60,56,52,103
HQ24_RS22285,5,1,3,6
HQ24_RS07765,884,535,642,488
glpC,35,24,23,29
pspE,790,3681,3384,612
insG,76,67,57,170
yoaK,13,4,8,65
recT,73,66,74,48
nudC,1048,1040,1154,492
entC,329,186,300,1425
fpr,1015,976,800,510
nudL,294,247,206,228
rpe,204,236,208,1118
rplF,2427,6615,2215,30050
HQ24_RS09975,2,4,8,242
ascB,974,517,849,213
HQ24_RS26380,20,21,34,3
yedQ,3161,1844,2055,933
yidF,118,72,64,91
gspM,44,20,25,15
tatB,434,606,410,1442
ugpA,577,27,70,494
aroP,443,886,717,565
apbE,29,17,19,326
efeO,45,62,24,921
wzzE,581,358,344,1171
ytfH,163,125,353,31
HQ24_RS26145,112,86,105,1152
proP,1110,1074,837,2197
rutD,8,9,8,3
yejA,442,249,263,605
yfiL,591,389,446,43
nuoJ,638,113,157,3234
HQ24_RS03400,263,331,272,977
oppC,943,295,457,11339
HQ24_RS12390,8,7,8,62
drpB,139,79,133,10
potH,155,19,38,499
sseB,116,88,71,1075
frc,22,27,12,30
yjhF,41,27,24,74
traF,42,34,34,1254
pgsA,257,393,197,587
HQ24_RS05950,400,205,294,12
lsrC,472,48,63,871
atpA,1108,544,397,37757
hcaR,580,843,431,1696
mdtP,6,8,3,18
lsrR,378,94,108,1560
racC,34,34,56,0
tusC,217,16,29,323
proA,1811,4096,2604,1463
asnB,443,373,464,950
dinI,344,251,276,510
wrbA,13279,17568,24721,801
HQ24_RS03565,4,0,3,0
csrA,20290,17080,28344,2589
ftsQ,2081,1243,1298,1370
cpsG,30,31,17,35
yhjE,123,214,170,207
gadW,1829,216,275,350
queE,1800,2372,2264,613
trbG,22,18,14,1132
yjiJ,396,156,184,96
yqjA,799,887,1125,357
yhjB,71,49,38,45
elaA,280,174,229,317
yjiS,1,0,3,0
HQ24_RS17365,21,22,19,15
deoA,4806,9621,8327,979
repA,978,1463,1062,881
yhbX,80,31,41,43
cybC,752,346,639,457
sstT,3038,3215,2938,6021
degQ,1200,716,817,872
argA,1040,125,127,167
nnr,4597,4106,4374,757
efeB,44,40,23,648
HQ24_RS14885,2140,511,997,2991
HQ24_RS23190,14,11,8,28
ackA,6997,1180,2893,4704
ybhM,105,86,97,16
damX,1943,1900,1497,4265
trpL,10,7,2,9
ansB,89,102,88,178
ycdY,248,166,143,700
sgcE,379,300,376,50
mtfA,1174,1516,1141,4885
ybfF,139,241,153,358
gltI,478,919,940,3338
dedA,440,495,351,1546
torS,94,85,71,123
bioF,69,62,55,736
glpD,4061,7589,7149,402
clpB,5751,3599,4063,2922
sad,100,92,85,169
xisR,8,4,5,3
bfr,6858,4199,4574,1572
HQ24_RS25825,0,4,2,12
cpxA,1378,787,669,1511
HQ24_RS15110,4,4,3,7
alsC,18,11,13,37
mgsA,1022,1629,1356,1001
odhB,1016,436,401,18997
rpsQ,774,1335,686,10922
